id,matiere_id,matiere_nom,enseignant_id,enseignant_nom,niveau,duree,annee_scolaire
"1","173","Éducation Physique Technique 18","4","Alioune Diouf","Technique","45","2024-2025"
"2","29","Éducation Physique Technique 3","4","Alioune Diouf","Technique","55","2024-2025"
"3","3","Informatique Primaire 1","2","Yacine Diouf","Primaire","45","2024-2025"
"4","133","Histoire-Géographie Lycée 14","12","Seynabou Ba","Lycée","90","2024-2025"
"5","155","Arts Primaire 16","5","Babacar Cisse","Primaire","55","2024-2025"
"6","69","Sciences Naturelles Collège 7","11","Binta Thiam","Collège","90","2024-2025"
"7","67","Arabe Collège 7","1","Amadou Mbaye","Collège","90","2024-2025"
"8","19","Sciences Naturelles Collège 2","11","Binta Thiam","Collège","90","2024-2025"
"9","96","Anglais Primaire 10","10","Modou Kane","Primaire","55","2024-2025"
"10","128","Arabe Collège 13","1","Amadou Mbaye","Collège","45","2024-2025"
"11","164","Sciences Physiques Technique 17","17","Ndeye Diallo","Technique","90","2024-2025"
"12","230","Sciences Naturelles Lycée 24","11","Binta Thiam","Lycée","45","2024-2025"
"13","38","Informatique Primaire 4","2","Yacine Diouf","Primaire","55","2024-2025"
"14","198","Informatique Lycée 20","2","Yacine Diouf","Lycée","55","2024-2025"
"15","246","Sciences Naturelles Collège 25","11","Binta Thiam","Collège","45","2024-2025"
"16","38","Informatique Primaire 4","2","Yacine Diouf","Primaire","90","2024-2025"
"17","172","Mathématiques Collège 18","8","Aminata Sarr","Collège","45","2024-2025"
"18","203","Sciences Naturelles Collège 21","11","Binta Thiam","Collège","90","2024-2025"
"19","182","Mathématiques Technique 19","8","Aminata Sarr","Technique","90","2024-2025"
"20","248","Anglais Technique 25","10","Modou Kane","Technique","45","2024-2025"
"21","160","Sciences Physiques Collège 17","17","Ndeye Diallo","Collège","55","2024-2025"
"22","27","Histoire-Géographie Lycée 3","12","Seynabou Ba","Lycée","45","2024-2025"
"23","105","Sciences Naturelles Collège 11","11","Binta Thiam","Collège","45","2024-2025"
"24","109","Sciences Naturelles Technique 11","11","Binta Thiam","Technique","90","2024-2025"
"25","48","Informatique Collège 5","2","Yacine Diouf","Collège","90","2024-2025"
"26","76","Mathématiques Technique 8","8","Aminata Sarr","Technique","45","2024-2025"
"27","51","Sciences Naturelles Primaire 6","11","Binta Thiam","Primaire","90","2024-2025"
"28","189","Informatique Primaire 19","2","Yacine Diouf","Primaire","55","2024-2025"
"29","157","Anglais Primaire 16","10","Modou Kane","Primaire","90","2024-2025"
"30","14","Informatique Technique 2","2","Yacine Diouf","Technique","55","2024-2025"
"31","24","Informatique Primaire 3","2","Yacine Diouf","Primaire","90","2024-2025"
"32","106","Français Collège 11","3","Modou Mbaye","Collège","45","2024-2025"
"33","106","Français Collège 11","3","Modou Mbaye","Collège","45","2024-2025"
"34","197","Arts Technique 20","5","Babacar Cisse","Technique","55","2024-2025"
"35","152","Arts Technique 16","5","Babacar Cisse","Technique","45","2024-2025"
"36","91","Éducation Physique Collège 10","4","Alioune Diouf","Collège","90","2024-2025"
"37","219","Éducation Physique Technique 22","4","Alioune Diouf","Technique","90","2024-2025"
"38","29","Éducation Physique Technique 3","4","Alioune Diouf","Technique","45","2024-2025"
"39","214","Sciences Physiques Collège 22","17","Ndeye Diallo","Collège","55","2024-2025"
"40","183","Arts Collège 19","5","Babacar Cisse","Collège","55","2024-2025"
"41","31","Arts Primaire 4","5","Babacar Cisse","Primaire","55","2024-2025"
"42","103","Mathématiques Technique 11","8","Aminata Sarr","Technique","55","2024-2025"
"43","97","Sciences Naturelles Primaire 10","11","Binta Thiam","Primaire","45","2024-2025"
"44","21","Français Technique 3","3","Modou Mbaye","Technique","55","2024-2025"
"45","35","Arabe Lycée 4","1","Amadou Mbaye","Lycée","55","2024-2025"
"46","192","Sciences Naturelles Primaire 20","11","Binta Thiam","Primaire","90","2024-2025"
"47","162","Français Primaire 17","3","Modou Mbaye","Primaire","45","2024-2025"
"48","146","Histoire-Géographie Primaire 15","12","Seynabou Ba","Primaire","90","2024-2025"
"49","106","Français Collège 11","3","Modou Mbaye","Collège","45","2024-2025"
"50","182","Mathématiques Technique 19","8","Aminata Sarr","Technique","45","2024-2025"
"51","59","Sciences Physiques Primaire 6","17","Ndeye Diallo","Primaire","55","2024-2025"
