id,nom,prenom,nom_complet,date_naissance,sexe,redouble,adresse,etablissement_id,etablissement_nom
"1","Ba","Moussa","Moussa Ba","2015-01-18","M","Non","53 Avenue Blaise Diagne, Ziguinchor","70","Collège Lat Dior"
"2","Faye","Moussa","Moussa Faye","2014-06-11","M","Non","136 Avenue Corniche, Dakar","69","Collège Léopold Sédar Senghor"
"3","Cisse","Rokhaya","Rokhaya Cisse","2014-02-25","F","Non","94 Rue de l'Indépendance, Diourbel","38","Institut Cheikh Anta Diop"
"4","Diop","Coumba","Coumba Diop","2006-05-28","F","Non","182 Rue Blaise Diagne, Kaffrine","34","Collège Léopold Sédar Senghor"
"5","Sarr","Mamadou","Mamadou Sarr","2009-07-02","M","Non","59 Boulevard Blaise Diagne, Saint-Louis","27","Collège Blaise Diagne"
"6","Cisse","Awa","Awa Cisse","2016-02-09","F","Non","124 Avenue Corniche, Sédhiou","1","Collège Cheikh Anta Diop"
"7","Kane","Ibrahima","Ibrahima Kane","2009-07-01","M","Non","41 Rue Blaise Diagne, Kaolack","75","École El Hadji Omar Tall"
"8","Seck","Cheikh","Cheikh Seck","2016-10-24","M","Oui","181 Boulevard des Almadies, Kaolack","45","Collège Cheikh Anta Diop"
"9","Wade","Maimouna","Maimouna Wade","2008-12-19","F","Non","42 Boulevard Corniche, Saint-Louis","63","Lycée Aline Sitoe Diatta"
"10","Ly","Seynabou","Seynabou Ly","2017-01-28","F","Non","34 Boulevard de la République, Dakar","97","Institut Mariama Ba"
"11","Faye","Maimouna","Maimouna Faye","2010-09-16","F","Non","159 Rue de la République, Sédhiou","47","Institut Aline Sitoe Diatta"
"12","Seck","Mariam","Mariam Seck","2007-06-15","F","Non","17 Avenue Léopold Sédar Senghor, Kédougou","40","École Mariama Ba"
"13","Mbaye","Babacar","Babacar Mbaye","2010-01-03","M","Non","143 Boulevard de l'Indépendance, Kaffrine","2","Lycée Cheikh Anta Diop"
"14","Ndiaye","Aminata","Aminata Ndiaye","2010-09-23","F","Non","77 Boulevard Léopold Sédar Senghor, Dakar","97","Institut Mariama Ba"
"15","Ndour","Demba","Demba Ndour","2005-08-10","M","Non","43 Avenue Blaise Diagne, Kaffrine","67","Collège Blaise Diagne"
"16","Sarr","Babacar","Babacar Sarr","2009-06-15","M","Non","78 Rue de l'Indépendance, Thiès","64","École Léopold Sédar Senghor"
"17","Gueye","Yacine","Yacine Gueye","2015-10-25","F","Non","178 Rue Corniche, Sédhiou","19","École Blaise Diagne"
"18","Diallo","Ndeye","Ndeye Diallo","2007-07-16","F","Non","160 Avenue des Almadies, Thiès","48","Lycée Cheikh Anta Diop"
"19","Ly","Rokhaya","Rokhaya Ly","2006-10-11","F","Oui","15 Boulevard Blaise Diagne, Diourbel","17","École Léopold Sédar Senghor"
"20","Cisse","Babacar","Babacar Cisse","2009-12-05","M","Non","144 Rue des Almadies, Diourbel","99","Institut Mariama Ba"
"21","Faye","Ousmane","Ousmane Faye","2008-10-05","M","Non","64 Rue Léopold Sédar Senghor, Dakar","97","Institut Mariama Ba"
"22","Kane","Mamadou","Mamadou Kane","2003-04-15","M","Non","117 Rue des Almadies, Diourbel","89","Lycée Blaise Diagne"
"23","Ly","Yacine","Yacine Ly","2016-08-16","F","Non","51 Boulevard de la République, Diourbel","89","Lycée Blaise Diagne"
"24","Diouf","Pape","Pape Diouf","2004-02-06","M","Non","106 Boulevard de l'Indépendance, Louga","92","Institut Lat Dior"
"25","Ndiaye","Baba","Baba Ndiaye","2013-04-02","M","Non","178 Avenue Léopold Sédar Senghor, Thiès","54","Lycée Léopold Sédar Senghor"
"26","Cisse","Awa","Awa Cisse","2016-08-01","F","Non","98 Rue de la République, Diourbel","99","Institut Mariama Ba"
"27","Kane","Moussa","Moussa Kane","2007-12-23","M","Non","15 Rue Léopold Sédar Senghor, Kaolack","43","Lycée El Hadji Omar Tall"
"28","Diagne","Mariam","Mariam Diagne","2009-11-05","F","Oui","4 Boulevard de l'Indépendance, Sédhiou","59","École Cheikh Anta Diop"
"29","Tall","Yacine","Yacine Tall","2017-10-08","F","Non","199 Boulevard Léopold Sédar Senghor, Kédougou","53","École Cheikh Anta Diop"
"30","Tall","Babacar","Babacar Tall","2013-05-19","M","Non","129 Avenue Blaise Diagne, Thiès","36","École Cheikh Anta Diop"
"31","Ndour","Moussa","Moussa Ndour","2014-08-24","M","Non","109 Rue des Almadies, Kaffrine","88","Institut Léopold Sédar Senghor"
"32","Diouf","Samba","Samba Diouf","2011-03-20","M","Non","61 Rue Blaise Diagne, Saint-Louis","83","Lycée Cheikh Anta Diop"
"33","Ndour","Samba","Samba Ndour","2003-04-06","M","Non","53 Avenue de la République, Sédhiou","47","Institut Aline Sitoe Diatta"
"34","Diallo","Ousmane","Ousmane Diallo","2004-12-23","M","Non","113 Avenue de la République, Saint-Louis","27","Collège Blaise Diagne"
"35","Diouf","Binta","Binta Diouf","2012-09-26","F","Oui","198 Avenue Blaise Diagne, Saint-Louis","83","Lycée Cheikh Anta Diop"
"36","Wade","Amadou","Amadou Wade","2016-04-18","M","Oui","107 Boulevard Léopold Sédar Senghor, Kédougou","74","Lycée Blaise Diagne"
"37","Ly","Aminata","Aminata Ly","2010-06-13","F","Non","60 Boulevard Corniche, Diourbel","89","Lycée Blaise Diagne"
"38","Diallo","Fatou","Fatou Diallo","2009-08-20","F","Non","95 Avenue de la République, Fatick","51","Institut Mariama Ba"
"39","Wade","Baba","Baba Wade","2013-07-01","M","Non","84 Rue Léopold Sédar Senghor, Sédhiou","26","Lycée Blaise Diagne"
"40","Fall","Babacar","Babacar Fall","2005-10-07","M","Non","68 Rue des Almadies, Matam","85","Lycée Lat Dior"
"41","Seck","Samba","Samba Seck","2003-04-04","M","Non","180 Boulevard Léopold Sédar Senghor, Fatick","61","Lycée Léopold Sédar Senghor"
"42","Ba","Abdou","Abdou Ba","2003-11-06","M","Non","2 Avenue de la République, Fatick","61","Lycée Léopold Sédar Senghor"
