id,nom,prenom,nom_complet,domaine,email,sexe,etablissement_id,etablissement_nom
"1","Mbaye","Amadou","Amadou Mbaye","Arabe","amadou.mbaye@collègeléopoldsédarsenghor.sn","M","69","Collège Léopold Sédar Senghor"
"2","Diouf","Yacine","Yacine Diouf","Informatique","yacine.diouf@écoleléopoldsédarsenghor.sn","F","12","École Léopold Sédar Senghor"
"3","Mbaye","Modou","Modou Mbaye","Français","modou.mbaye@lycéemabadiakhouba.sn","M","37","Lycée Maba Diakhou Ba"
"4","Diouf","Alioune","Alioune Diouf","Éducation Physique","alioune.diouf@écolemabadiakhouba.sn","M","56","École Maba Diakhou Ba"
"5","Cisse","Babacar","Babacar Cisse","Arts","babacar.cisse@collègemariamaba.sn","M","66","Collège Mariama Ba"
"6","Diop","Ousmane","Ousmane Diop","Informatique","ousmane.diop@lycéealinesitoediatta.sn","M","32","Lycée Aline Sitoe Diatta"
"7","Faye","Khady","Khady Faye","Arts","khady.faye@lycéeblaisediagne.sn","F","74","Lycée Blaise Diagne"
"8","Sarr","Aminata","Aminata Sarr","Mathématiques","aminata.sarr@écoleblaisediagne.sn","F","87","École Blaise Diagne"
"9","Faye","Baba","Baba Faye","Arabe","baba.faye@lycéelatdior.sn","M","91","Lycée Lat Dior"
"10","Kane","Modou","Modou Kane","Anglais","modou.kane@lycéecheikhantadiop.sn","M","2","Lycée Cheikh Anta Diop"
"11","Thiam","Binta","Binta Thiam","Sciences Naturelles","binta.thiam@collègecheikhantadiop.sn","F","1","Collège Cheikh Anta Diop"
"12","Ba","Seynabou","Seynabou Ba","Histoire-Géographie","seynabou.ba@collègeléopoldsédarsenghor.sn","F","69","Collège Léopold Sédar Senghor"
"13","Gueye","Mamadou","Mamadou Gueye","Arts","mamadou.gueye@écoleblaisediagne.sn","M","78","École Blaise Diagne"
"14","Diallo","Khady","Khady Diallo","Arts","khady.diallo@écolemabadiakhouba.sn","F","9","École Maba Diakhou Ba"
"15","Ndiaye","Binta","Binta Ndiaye","Histoire-Géographie","binta.ndiaye@lycéemariamaba.sn","F","13","Lycée Mariama Ba"
"16","Diallo","Alioune","Alioune Diallo","Éducation Physique","alioune.diallo@collègeblaisediagne.sn","M","27","Collège Blaise Diagne"
"17","Diallo","Ndeye","Ndeye Diallo","Sciences Physiques","ndeye.diallo@collègelatdior.sn","F","79","Collège Lat Dior"
"18","Kane","Rokhaya","Rokhaya Kane","Éducation Physique","rokhaya.kane@institutmariamaba.sn","F","51","Institut Mariama Ba"
"19","Tall","Ndeye","Ndeye Tall","Anglais","ndeye.tall@collègemabadiakhouba.sn","F","41","Collège Maba Diakhou Ba"
"20","Thiam","Coumba","Coumba Thiam","Sciences Physiques","coumba.thiam@lycéeblaisediagne.sn","F","80","Lycée Blaise Diagne"
"21","Tall","Mariam","Mariam Tall","Mathématiques","mariam.tall@collègeblaisediagne.sn","F","25","Collège Blaise Diagne"
"22","Diop","Fatou","Fatou Diop","Anglais","fatou.diop@lycéemabadiakhouba.sn","F","37","Lycée Maba Diakhou Ba"
"23","Ly","Babacar","Babacar Ly","Français","babacar.ly@institutléopoldsédarsenghor.sn","M","44","Institut Léopold Sédar Senghor"
"24","Diagne","Dieynaba","Dieynaba Diagne","Arts","dieynaba.diagne@institutmariamaba.sn","F","51","Institut Mariama Ba"
"25","Sow","Baba","Baba Sow","Mathématiques","baba.sow@écoleléopoldsédarsenghor.sn","M","12","École Léopold Sédar Senghor"
"26","Sarr","Seynabou","Seynabou Sarr","Français","seynabou.sarr@collègemabadiakhouba.sn","F","41","Collège Maba Diakhou Ba"
"27","Gueye","Awa","Awa Gueye","Arts","awa.gueye@écolecheikhantadiop.sn","F","59","École Cheikh Anta Diop"
"28","Sow","Khady","Khady Sow","Informatique","khady.sow@écoleelhadjiomartall.sn","F","75","École El Hadji Omar Tall"
"29","Kane","Mariam","Mariam Kane","Français","mariam.kane@lycéealinesitoediatta.sn","F","28","Lycée Aline Sitoe Diatta"
"30","Ba","Maimouna","Maimouna Ba","Sciences Physiques","maimouna.ba@lycéealinesitoediatta.sn","F","63","Lycée Aline Sitoe Diatta"
"31","Mbaye","Babacar","Babacar Mbaye","Éducation Physique","babacar.mbaye@lycéelatdior.sn","M","91","Lycée Lat Dior"
"32","Tall","Mariam","Mariam Tall","Français","mariam.tall@écolealinesitoediatta.sn","F","60","École Aline Sitoe Diatta"
"33","Sarr","Maimouna","Maimouna Sarr","Anglais","maimouna.sarr@écolemariamaba.sn","F","94","École Mariama Ba"
"34","Diop","Awa","Awa Diop","Éducation Physique","awa.diop@écolecheikhantadiop.sn","F","53","École Cheikh Anta Diop"
"35","Ndour","Fatou","Fatou Ndour","Anglais","fatou.ndour@collègelatdior.sn","F","79","Collège Lat Dior"
"36","Ba","Rokhaya","Rokhaya Ba","Sciences Naturelles","rokhaya.ba@lycéealinesitoediatta.sn","F","28","Lycée Aline Sitoe Diatta"
"37","Ly","Mamadou","Mamadou Ly","Éducation Physique","mamadou.ly@écoleléopoldsédarsenghor.sn","M","12","École Léopold Sédar Senghor"
"38","Thiam","Rokhaya","Rokhaya Thiam","Anglais","rokhaya.thiam@collègeblaisediagne.sn","F","5","Collège Blaise Diagne"
"39","Kane","Modou","Modou Kane","Arts","modou.kane@écolealinesitoediatta.sn","M","96","École Aline Sitoe Diatta"
"40","Sarr","Ndeye","Ndeye Sarr","Mathématiques","ndeye.sarr@lycéecheikhantadiop.sn","F","2","Lycée Cheikh Anta Diop"
"41","Ba","Mariam","Mariam Ba","Arabe","mariam.ba@lycéeblaisediagne.sn","F","26","Lycée Blaise Diagne"
"42","Diallo","Rokhaya","Rokhaya Diallo","Mathématiques","rokhaya.diallo@institutmariamaba.sn","F","99","Institut Mariama Ba"
"43","Kane","Baba","Baba Kane","Éducation Physique","baba.kane@écoleléopoldsédarsenghor.sn","M","17","École Léopold Sédar Senghor"
"44","Mbaye","Assane","Assane Mbaye","Arabe","assane.mbaye@institutalinesitoediatta.sn","M","55","Institut Aline Sitoe Diatta"
